timestamp,total_ema_risk,fft_high_freq_mean,jawline_edge_variance,jawline_roi_area,landmark_lost_count
21:21:41,0.171983,65.903008,12345.20181,1856,0
21:21:42,0.172853,65.852615,13328.296174,1880,0
21:21:44,0.173705,65.819992,10942.983204,1840,0
21:21:45,0.174297,65.844955,12175.543381,1861,0
21:21:47,0.175021,66.099152,10484.171057,1919,0
21:21:49,0.175725,66.27861,9584.107931,2186,0
21:21:51,0.177817,66.435562,9065.202401,2266,0
21:21:53,0.179177,66.579453,9191.248558,2278,0
21:21:55,0.179952,66.475662,8169.53769,2240,0
21:25:04,0.0,0.0,0.0,0,1
21:25:05,0.014937,47.821602,1514.46067,2134,0
21:25:07,0.030514,46.476181,1046.481374,2178,0
21:25:08,0.040921,47.424717,1121.569909,2220,0
21:25:09,0.049197,48.255901,1429.564278,2186,0
21:25:10,0.055868,48.38747,1669.387244,2120,0
21:25:12,0.060872,48.502937,1744.207541,2150,0
21:25:13,0.065638,48.570362,1671.672281,2132,0
21:25:15,0.069805,48.466034,1659.332434,2179,0
21:25:16,0.073492,48.470673,1777.460727,2159,0
21:25:18,0.076592,48.355518,1713.719729,2158,0
21:25:19,0.079585,48.393276,1700.58561,2216,0
21:25:20,0.081652,48.549789,1582.930425,2229,0
21:25:21,0.083139,48.514412,1533.911568,2249,0
21:25:23,0.085464,48.468189,1703.145967,2210,0
21:25:24,0.086771,48.439232,1541.325764,2179,0
21:25:25,0.087748,48.348076,1535.087809,2161,0
21:26:58,0.027988,50.126041,1913.950386,2375,0
21:26:59,0.048855,50.194668,1962.724,2395,0
21:27:00,0.062675,46.702774,1102.422501,2388,0
21:27:01,0.076003,48.832417,2298.975904,2326,0
21:27:02,0.080532,49.040939,1868.228073,2197,0
21:27:03,0.083561,49.502853,2008.008898,2153,0
21:27:04,0.085234,49.50539,1911.287842,2158,0
21:27:05,0.08859,48.216484,2055.776576,2126,0
21:27:06,0.087586,48.216484,2055.776576,2126,3
21:27:07,0.091607,48.216484,2055.776576,2126,7
21:27:08,0.104915,40.268589,15022.914955,805,2
21:27:09,0.107103,40.268589,15022.914955,805,6
21:27:10,0.127547,40.268589,15022.914955,805,10
21:27:11,0.150873,40.268589,15022.914955,805,14
21:27:12,0.175928,40.268589,15022.914955,805,18
21:27:13,0.221668,40.268589,15022.914955,805,24
21:27:14,0.269611,40.268589,15022.914955,805,31
21:27:15,0.324473,40.268589,15022.914955,805,37
21:27:16,0.367053,40.268589,15022.914955,805,44
21:27:17,0.403717,40.268589,15022.914955,805,50
21:27:18,0.439277,40.268589,15022.914955,805,56
21:27:19,0.473523,40.268589,15022.914955,805,62
21:27:20,0.509765,40.268589,15022.914955,805,69
21:27:21,0.524389,40.268589,15022.914955,805,72
21:27:22,0.54338,40.268589,15022.914955,805,76
21:27:23,0.561723,40.268589,15022.914955,805,80
21:27:24,0.563581,51.265736,4006.596897,1917,0
21:27:25,0.564819,49.661358,2184.726903,2161,0
21:27:26,0.563043,50.263889,2173.430314,2396,0
21:27:27,0.557831,47.825138,1482.133572,2370,0
21:27:28,0.549056,48.149891,1483.128851,2416,0
21:27:29,0.541163,47.845943,1601.143897,2516,0
21:27:30,0.534975,47.520672,1254.307142,2599,0
21:27:31,0.518796,47.666775,1229.848316,2653,0
21:27:32,0.504857,47.296349,1361.190075,2468,0
21:27:33,0.49647,48.469944,1903.184654,2269,0
21:27:34,0.486703,50.59557,2638.133869,2350,0
21:27:35,0.478356,50.169872,2035.311045,2292,0
21:27:37,0.469157,50.560505,1855.062165,2465,0
21:27:38,0.458844,50.370113,1774.169773,2435,0
21:27:39,0.451749,49.800732,1863.295412,2400,0
21:27:40,0.444559,50.495903,1676.015368,2548,0
21:27:41,0.434924,50.315308,1727.025909,2452,0
21:27:42,0.424959,50.53426,1870.148871,2372,0
21:27:43,0.417157,50.403286,1938.308721,2462,0
21:27:44,0.409977,51.031269,3481.297848,2092,0
21:27:45,0.403015,50.30365,3358.222303,2120,0
21:27:46,0.398084,50.94598,3798.824021,2082,0
21:27:47,0.390126,51.275833,4741.729711,2008,0
21:27:48,0.383764,51.527195,4905.702813,1914,0
21:27:49,0.377856,51.8699,5251.000503,1938,0
21:27:50,0.370729,51.650333,5935.233664,1953,0
21:27:51,0.363592,52.073353,5696.105143,1899,0
21:27:52,0.352287,52.073353,5696.105143,1899,4
21:27:53,0.341887,51.612206,5488.877045,1908,0
21:27:54,0.334815,51.1483,5173.715802,1959,0
21:27:55,0.325292,51.750927,4929.056479,1965,0
21:27:56,0.315047,51.111275,4438.187418,1917,0
21:27:57,0.306795,50.358875,2172.68576,2464,0
21:27:58,0.297319,51.242661,2338.503061,2382,0
21:27:59,0.295149,51.215363,2346.396988,2395,0
21:28:00,0.293848,50.656719,2023.88419,2367,0
21:28:01,0.290784,50.688942,2044.036251,2294,0
21:28:04,0.289583,51.102795,2009.741532,2304,0
21:28:05,0.275432,49.577156,2139.583312,2094,0
21:28:06,0.265572,46.439915,3107.091046,1965,1
21:28:07,0.260621,49.901321,2001.675424,2605,0
21:28:08,0.253471,50.04409,2362.138154,2530,0
21:28:09,0.245218,49.509083,2582.1881,2458,0
21:28:10,0.240604,49.449669,2338.972913,2169,0
21:28:11,0.234781,49.460789,2628.08862,1947,0
21:28:12,0.226938,49.460789,2628.08862,1947,4
21:28:13,0.233717,49.460789,2628.08862,1947,9
21:28:14,0.252982,49.460789,2628.08862,1947,14
21:28:16,0.270822,49.460789,2628.08862,1947,18
21:28:17,0.292157,49.460789,2628.08862,1947,22
21:28:18,0.310139,49.460789,2628.08862,1947,25
21:28:19,0.33796,49.460789,2628.08862,1947,29
21:28:20,0.370411,49.460789,2628.08862,1947,33
21:28:21,0.412872,49.460789,2628.08862,1947,39
21:28:22,0.433423,49.460789,2628.08862,1947,43
21:28:23,0.465239,49.460789,2628.08862,1947,49
21:28:24,0.486694,49.460789,2628.08862,1947,53
21:28:25,0.50794,49.460789,2628.08862,1947,57
21:28:26,0.538315,49.460789,2628.08862,1947,63
21:28:27,0.556598,49.460789,2628.08862,1947,67
21:28:28,0.569611,49.460789,2628.08862,1947,70
21:28:29,0.586653,49.460789,2628.08862,1947,74
21:28:30,0.595009,49.460789,2628.08862,1947,76
21:28:31,0.611324,49.460789,2628.08862,1947,80
21:28:32,0.634641,49.460789,2628.08862,1947,86
21:28:33,0.659913,49.460789,2628.08862,1947,93
21:28:34,0.670018,32.02972,1119.978547,1386,0
21:28:35,0.663403,32.02972,1119.978547,1386,4
21:28:36,0.666415,32.02972,1119.978547,1386,10
21:28:37,0.650467,49.023746,4139.012882,1833,2
21:28:38,0.637155,52.420479,4754.600307,1549,0
21:28:39,0.623392,50.227081,2648.266576,1752,0
21:28:40,0.605159,49.128769,1750.866073,2216,0
21:28:41,0.58871,47.766106,1491.745584,2218,0
21:28:42,0.584049,47.429352,1400.103344,2298,0
21:28:43,0.568144,48.004253,6549.277558,1969,0
21:28:44,0.551781,47.886677,2937.667231,1831,0
21:28:45,0.542782,47.886677,2937.667231,1831,3
21:28:46,0.536087,47.886677,2937.667231,1831,10
21:28:47,0.546105,47.886677,2937.667231,1831,16
21:28:48,0.556165,47.886677,2937.667231,1831,20
21:28:49,0.579726,47.886677,2937.667231,1831,27
21:28:50,0.615821,47.886677,2937.667231,1831,34
21:28:51,0.643763,47.886677,2937.667231,1831,41
21:28:52,0.665821,47.886677,2937.667231,1831,48
21:28:53,0.685534,47.886677,2937.667231,1831,54
21:28:54,0.705156,47.886677,2937.667231,1831,60
21:28:55,0.71755,47.886677,2937.667231,1831,64
21:28:56,0.733813,47.886677,2937.667231,1831,70
21:28:57,0.746878,47.886677,2937.667231,1831,75
21:28:58,0.741899,49.17065,3028.398928,1576,0
21:28:59,0.739137,46.725456,3257.057567,1814,0
21:29:00,0.729208,48.281322,1474.417576,2283,0
21:29:01,0.717447,48.035606,1526.476885,2191,0
21:29:02,0.707183,47.552116,1485.760368,2141,0
21:29:03,0.69025,47.502129,1572.300257,2171,0
21:29:04,0.675932,48.127316,1501.856365,2229,0
21:29:05,0.653146,48.546619,1709.946273,2195,0
21:29:06,0.634507,48.997299,1747.32646,2191,0
21:29:07,0.621317,49.228588,1478.751097,2243,0
21:29:08,0.60992,48.924351,1544.846409,2210,0
21:29:09,0.597541,49.499058,1479.358876,2221,0
21:29:11,0.583916,49.498085,1562.285764,2154,0
21:29:12,0.574372,49.172474,1812.717572,2122,0
21:29:13,0.56153,49.584042,2577.72685,2138,0
21:29:14,0.546756,49.524029,2688.814197,2143,0
21:29:15,0.542025,49.542091,2518.207,2285,0
21:29:16,0.533859,49.791859,2612.186425,2195,0
21:29:17,0.525811,49.416092,1904.159524,2230,0
